Plan Name,Supplier,Rate ($/kWh),Term (Months),Renewable %,Cancel Fee,Phone,Signup Link,Learn More Link
Hillsborough BASIC,Hillsborough Community Power,$0.08810,7,25.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Learn more</a>"
Bennington BASIC,Bennington Community Power,$0.08820,6,25.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Learn more</a>"
Rollinsford BASIC,Rollinsford Community Power,$0.08840,7,25.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Learn more</a>"
Amherst BASIC,Amherst Community Power,$0.08840,6,25.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Learn more</a>"
Hillsborough GREEN Default,Hillsborough Community Power,$0.08850,7,26.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Learn more</a>"
Bennington GREEN Default,Bennington Community Power,$0.08860,6,26.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Learn more</a>"
Amherst GREEN Default,Amherst Community Power,$0.08880,6,26.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Learn more</a>"
Rollinsford GREEN Default,Rollinsford Community Power,$0.08880,7,26.20,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Learn more</a>"
Power Your Tomorrow Variable - 1,Town Square Energy,$0.08890,1,0.00,No,1-877-430-0093,"<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Learn more</a>"
Easy Choice 3 - Residential,ENH Power,$0.08890,3,0.00,No,1-833-488-3147,"<a href=""https://enhpower.com/"" target=""_blank"">Sign up</a>","<a href=""https://enhpower.com/"" target=""_blank"">Learn more</a>"
Standard,Hampton Community Power Aggregation,$0.09425,4,24.30,No,1-866-485-5858,"<a href=""https://www.hamptonnh.gov/community-power"" target=""_blank"">Sign up</a>","<a href=""https://www.hamptonnh.gov/community-power"" target=""_blank"">Learn more</a>"
Power Your Today Fixed - 4,Town Square Energy,$0.09770,4,0.00,No,1-877-430-0093,"<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Learn more</a>"
Power Your Tomorrow Variable - 1 Green,Town Square Energy,$0.09890,1,100.00,No,1-877-430-0093,"<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.townsquareenergy.com/"" target=""_blank"">Learn more</a>"
Think Basic 4,Think Energy,$0.09900,4,0.00,No,1-833-669-3080,"<a href=""https://www.thinkenergy.com/"" target=""_blank"">Sign up</a>","<a href=""https://www.thinkenergy.com/"" target=""_blank"">Learn more</a>"
Hillsborough GREEN 50%,Hillsborough Community Power,$0.10270,7,50.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Hillsborough/"" target=""_blank"">Learn more</a>"
Bennington GREEN 50%,Bennington Community Power,$0.10280,6,50.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Bennington/"" target=""_blank"">Learn more</a>"
Rollinsford GREEN 50%,Rollinsford Community Power,$0.10300,7,50.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Rollinsford/"" target=""_blank"">Learn more</a>"
Amherst GREEN 50%,Amherst Community Power,$0.10300,6,50.00,No,866-968-8065,"<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Sign up</a>","<a href=""http://www.standardpower.com/Communities/Amherst/"" target=""_blank"">Learn more</a>"
New Boston BASIC,New Boston Community Power,$0.10568,20,24.30,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Milford DEFAULT,Milford Community Power,$0.10568,20,24.30,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
Jaffrey BASIC,Jaffrey Community Power,$0.10568,20,24.30,No,1-888-875-1711,"<a href=""https://www.cpcnh.org/"" target=""_blank"">Sign up</a>","<a href=""https://www.cpcnh.org/"" target=""_blank"">Learn more</a>"
